,Madde,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31
78,Erkek Berberi,-0.008223554685815593,6.577960427209928,18.58536162760189,0.0,0.0,0.0,2.3921639347153523,11.681381869420093,2.6833333333333043,0.11361791916897346,0.0,19.1950341924762
79,Erkek Mont,2.2267421401511944,5.752756052276831,0.8235028968535563,0.03039448442012649,1.3166933392751767,1.8680866152334996,-4.4104496818875845,1.5733831261242726,64.38571338032304,0.29646475167877107,1.5094505962150562,2.8008347225685903
80,Etek,4.224047902685246,6.069948224646371,-0.4182671040148467,-1.4790391229640987,0.12997342819018876,-0.06401457452418491,-3.630081565870946,0.6579275681015906,1.0639343561424708,1.220487516320623,1.6741327953470941,0.8291514980407255
81,Evcil Hayvanlar İçin Gıda Harcamaları,1.5264987092097115,-0.7441508841848354,-0.1520301326361273,0.40505146682177084,0.43988310114499996,1.2407559827625647,1.1618585444908236,1.5438671946303328,0.8969222805541799,-0.26357167606986254,0.2946197884214685,2.0568814902165777
82,Eşarp,4.678725814993112,4.9914807240655,2.299837659595183,0.06545786786587016,0.5958021880694275,2.208755224572223,-0.02212486177428641,1.9911734379427726,0.23939591289745543,-2.2831667517411725,6.374376559111106,-1.876667453515657
83,Eşofman (Erkek için),5.868632528979312,8.707352519365653,0.37907447270106864,-2.3933261878359757,0.36361735867029843,-0.19026579500645013,-4.5787234440979985,3.635986547100112,4.6826888540507206,-2.7087804772407242,1.828725980993462,2.2262823900215722
84,Eşofman (Kadın için),5.069699895702562,9.520932489180556,0.8502372381449907,-1.1939659808366088,-0.8376633031095926,0.15256810769359586,-3.8874653304731166,3.0760477829167243,3.2841893851376813,-2.6189428694848527,0.6145078721202957,2.977648515319553
85,Eşofman (Çocuk için),0.26658924528795147,9.007100538621039,2.0623196744430805,0.9588973399391687,0.5472937548624657,-1.5684030425985318,-7.441934878001966,4.2392876235469945,4.153369131411622,-4.545838713225326,1.999332569393153,0.4820976342459704
86,Fındık Ezmesi,8.954369543710804,4.479775680779641,1.6590080801715201,4.55622936407758,4.979371748872752,4.502882124897956,5.190740629428636,0.4128653968823448,5.595896384444132,8.003128963999373,4.902793650615922,4.388566547562811
87,Fındık İçi,2.70725544561079,1.199551452887082,1.2765491040002352,8.682817590153725,7.785535077739247,1.536661090446656,5.6411854162920605,17.562236333152526,14.874560972166218,9.022583522924776,5.271655158649424,-1.264560701238232
